age,annual_income,monthly_expenses,young_dependents,home_ownership,occupants_count,house_area,sanitary_availability,water_availabity,loan_amount,Recommended Loan
22,36000,5000.0,2,1,4,70,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
24,48000,4000.0,2,1,4,50,1,0.5,5000,Agri Term Loan
26,7000,5000.0,2,1,5,50,1,0.5,7500,Agri Term Loan
23,36000,3500.0,0,1,1,112,1,0.5,5000,Agri Loan
23,36000,3500.0,0,1,1,112,1,0.5,5000,Agri Term Loan
22,36000,3000.0,1,1,3,60,1,0.5,5000,Agri Term Loan
28,7000,5000.0,2,1,5,40,1,0.5,7500,Agri Term Loan
38,36000,5000.0,2,1,5,50,1,0.5,5000,Agri Term Loan
25,36000,5000.0,3,1,5,50,1,0.5,5000,Kisan Power
25,40000,3000.0,0,1,1,110,1,0.5,5000,Agri Term Loan
26,60000,5000.0,3,1,5,50,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
37,36000,5000.0,3,1,5,60,1,0.5,5000,Kisan Power
50,42000,3500.0,0,0,4,40,1,0.5,5000,Kisan Power
54,48000,4000.0,1,0,5,50,1,0.5,5000,Agri Loan
28,95000,4000.0,2,1,4,50,1,0.5,7500,Agri Loan
34,48000,4000.0,1,1,3,50,1,0.5,5000,Kisan Power
57,36000,5000.0,1,1,5,50,1,0.5,5000,Kisan Power
48,95000,400.0,0,1,4,60,1,0.5,7500,Agri Term Loan
23,36000,3000.0,1,0,3,60,1,0.5,5000,Agri Term Loan
32,50000,4400.0,2,1,4,40,1,0.5,7500,Agri Term Loan
35,3600,5000.0,2,1,5,60,1,0.5,5000,Kisan Power
26,48000,4000.0,1,1,1,110,1,0.5,5000,Agri Term Loan
51,60000,5000.0,3,1,5,60,1,0.5,5000,Agri Term Loan
39,60000,5000.0,1,1,3,60,1,0.5,5000,Agri Term Loan
23,42000,3500.0,1,1,1,112,1,0.5,5000,Agri Term Loan
46,36000,5000.0,0,1,4,40,1,0.5,5000,Kisan Power
45,48000,5000.0,1,1,3,40,1,0.5,5000,Kisan Power
50,36000,3000.0,1,1,1,110,1,0.5,5000,Agri Term Loan
43,95000,4400.0,0,1,3,50,1,0.5,7500,Agri Term Loan
50,95000,5000.0,0,1,4,130,1,0.5,7500,Kisan Power
28,48000,4000.0,1,1,1,112,1,0.5,5000,Agri Term Loan
46,95000,4600.0,0,1,4,50,1,0.5,7500,Mahabank Kisan All Purpose Term Loan
47,36000,3000.0,0,1,1,110,1,0.5,5000,Agri Term Loan
35,36000,3000.0,0,1,1,110,1,0.5,5000,Agri Loan
44,36000,3000.0,0,1,1,110,1,0.5,5000,Agri Term Loan
25,36000,3000.0,0,1,1,110,1,0.5,5000,Agri Term Loan
23,60000,4000.0,3,1,1,112,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
41,50400,4200.0,2,1,3,60,1,0.5,7500,Mahabank Kisan All Purpose Term Loan
39,95000,5000.0,3,1,6,40,1,0.5,7500,Agri Term Loan
40,42000,5600.0,2,1,5,50,1,0.5,7500,Mahabank Kisan All Purpose Term Loan
42,95000,4300.0,1,1,4,40,1,0.5,7500,Agri Loan
47,78000,3500.0,0,1,3,50,1,0.5,7500,Agri Loan
24,95000,4000.0,2,1,5,50,1,0.5,7500,Agri Loan
42,95000,4700.0,2,1,4,50,1,0.5,7500,Agri Term Loan
35,100800,5000.0,2,1,4,1200,1,0.5,7500,Kisan Power
39,114000,5200.0,2,1,5,10,1,0.5,7500,Agri Term Loan
33,42000,5600.0,3,1,5,10,1,0.5,7500,Kisan Power
39,93600,4000.0,2,1,4,80,1,0.5,7500,Agri Loan
41,36000,3500.0,0,1,2,60,1,0.5,7500,Kisan Power
35,0,3200.0,1,1,2,50,1,0.5,7500,Mahabank Kisan All Purpose Term Loan
53,36000,3000.0,0,1,1,112,1,0.5,5000,Kisan Power
21,93600,4200.0,0,1,4,100,1,0.5,7500,Mahabank Kisan All Purpose Term Loan
28,48000,4000.0,3,1,1,112,1,0.5,5000,Agri Term Loan
30,95000,5000.0,3,1,5,40,1,0.5,7500,Agri Term Loan
48,36000,3000.0,0,1,1,110,1,0.5,5000,Kisan Power
47,0,3300.0,0,1,2,50,1,0.5,7500,Agri Term Loan
30,42000,3500.0,1,1,1,112,1,0.5,5000,Kisan Power
51,36000,3000.0,0,1,1,110,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
23,93600,3500.0,0,1,2,70,1,0.5,7500,Agri Term Loan
21,36000,3000.0,0,1,1,112,1,0.5,5000,Kisan Power
30,36000,3000.0,2,1,1,110,1,0.5,5000,Agri Term Loan
21,48000,4000.0,1,1,1,112,1,0.5,5000,Agri Term Loan
46,36000,3000.0,0,1,1,110,1,0.5,5000,Agri Loan
35,36000,3000.0,1,1,1,112,1,0.5,5000,Agri Term Loan
40,40000,4000.0,4,1,1,114,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
45,48000,4000.0,0,1,1,110,1,0.5,5000,Agri Loan
38,36000,3000.0,2,1,1,1101,1,0.5,5000,Agri Loan
33,36000,3000.0,2,1,1,110,1,0.5,5000,Agri Term Loan
21,36000,3000.0,1,1,1,110,1,0.5,5000,Agri Loan
44,3000,3000.0,0,1,1,112,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
44,45000,4000.0,0,1,1,110,1,0.5,5000,Agri Loan
23,60000,5000.0,0,1,1,114,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
37,36000,3000.0,0,1,1,110,1,0.5,5000,Kisan Power
26,36000,3000.0,2,1,1,110,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
29,36000,3000.0,1,1,1,110,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
23,48000,3500.0,0,1,2,50,1,0.5,7500,Agri Term Loan
28,48000,3500.0,1,1,3,50,1,0.5,7500,Agri Term Loan
34,78000,5000.0,3,1,5,50,1,0.5,7500,Agri Term Loan
36,93600,4000.0,3,1,5,120,1,0.5,7500,Agri Term Loan
38,100000,5000.0,3,1,5,40,1,0.5,7500,Agri Term Loan
34,48000,4000.0,3,1,5,40,1,0.5,7500,Mahabank Kisan All Purpose Term Loan
23,36000,3000.0,0,1,1,112,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
23,75000,3000.0,0,1,4,40,1,0.5,7500,Kisan Power
42,96000,3000.0,0,1,4,50,1,0.5,7500,Mahabank Kisan All Purpose Term Loan
45,36000,3000.0,0,1,1,110,1,0.5,5000,Agri Term Loan
19,96000,3500.0,1,1,5,50,1,0.5,7500,Agri Term Loan
54,36000,3000.0,1,1,1,110,1,0.5,5000,Kisan Power
37,36000,3500.0,2,1,4,50,1,0.5,7500,Agri Loan
40,60000,3000.0,0,1,3,80,1,0.5,7500,Agri Term Loan
45,95000,5000.0,0,1,4,40,1,0.5,7500,Mahabank Kisan All Purpose Term Loan
46,72000,2500.0,0,1,3,50,1,0.5,7500,Kisan Power
19,95000,4000.0,1,1,3,40,1,0.5,7500,Agri Loan
27,36000,4000.0,2,1,4,50,1,0.5,7500,Agri Term Loan
24,95000,4000.0,2,1,4,40,1,0.5,7500,Kisan Power
38,48000,3500.0,3,1,5,50,1,0.5,7500,Kisan Power
20,95000,3100.0,0,1,2,40,1,0.5,7500,Agri Term Loan
27,48000,4500.0,2,1,4,50,1,0.5,7500,Agri Loan
25,72000,3000.0,1,1,3,50,1,0.5,7500,Mahabank Kisan All Purpose Term Loan
19,66000,4400.0,1,1,4,40,1,0.5,7500,Mahabank Kisan All Purpose Term Loan
44,36000,3000.0,3,1,1,112,1,0.5,5000,Kisan Power
48,60000,4500.0,1,1,2,112,1,0.5,5000,Kisan Power
46,36000,3000.0,0,1,1,110,1,0.5,5000,Agri Term Loan
33,36000,3000.0,0,1,1,110,1,0.5,5000,Agri Term Loan
44,36000,3000.0,0,1,1,110,1,0.5,5000,Kisan Power
29,36000,3000.0,2,1,1,110,1,0.5,5000,Agri Loan
24,40000,3200.0,0,1,1,110,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
50,36000,3000.0,0,1,1,110,1,0.5,5000,Agri Term Loan
53,40000,3200.0,0,1,1,110,1,0.5,5000,Agri Term Loan
22,30000,2500.0,0,1,1,110,1,0.5,5000,Agri Term Loan
28,36000,3000.0,1,1,1,110,1,0.5,5000,Agri Term Loan
21,30000,2500.0,1,1,1,110,1,0.5,5000,Agri Loan
38,48000,4000.0,3,1,4,50,1,0.5,7500,Agri Term Loan
45,96000,3000.0,0,1,4,50,1,0.5,7500,Mahabank Kisan All Purpose Term Loan
41,60000,5000.0,0,1,2,110,1,0.5,5000,Agri Term Loan
28,60000,3000.0,3,1,1,110,1,0.5,5000,Agri Loan
57,84000,3000.0,0,1,3,50,1,0.5,7500,Agri Term Loan
34,48000,4000.0,2,1,1,110,1,0.5,5000,Agri Term Loan
32,36000,2500.0,1,1,3,50,1,0.5,7500,Agri Loan
40,48000,4000.0,3,1,5,50,1,0.5,7500,Agri Term Loan
36,36000,3000.0,2,1,1,110,1,0.5,5000,Agri Loan
55,48000,3500.0,0,1,2,50,1,0.5,7500,Mahabank Kisan All Purpose Term Loan
21,30000,2500.0,0,1,1,110,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
30,60000,3000.0,1,1,3,50,1,0.5,7500,Mahabank Kisan All Purpose Term Loan
26,36000,3000.0,1,1,1,110,1,0.5,5000,Agri Loan
49,84000,3500.0,0,1,4,40,1,0.5,7500,Agri Term Loan
41,0,3000.0,1,1,2,50,1,0.5,7500,Kisan Power
57,60000,5000.0,0,1,3,50,1,0.5,7500,Agri Term Loan
36,24000,2000.0,0,1,1,1400,1,0.5,5000,Agri Term Loan
27,36000,3000.0,1,1,1,1200,1,0.5,5000,Agri Loan
33,24000,2000.0,1,1,1,1200,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
44,24000,2000.0,0,1,1,1000,1,0.5,5000,Agri Loan
43,24000,2000.0,0,1,1,920,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
35,24000,2000.0,1,1,1,1000,1,0.5,5000,Agri Loan
45,24000,2000.0,0,1,1,1200,1,0.5,5000,Agri Term Loan
40,24000,2000.0,0,1,1,1000,1,0.5,5000,Agri Term Loan
36,25000,2200.0,2,1,1,3400,1,0.5,5000,Agri Loan
37,36000,3600.0,0,1,1,1000,1,0.5,5000,Agri Loan
30,30000,2000.0,0,1,1,1400,1,0.5,5000,Agri Term Loan
47,36000,5000.0,1,0,6,50,1,0.5,5000,Agri Loan
34,25000,2000.0,1,1,1,1000,1,0.5,5000,Kisan Power
47,60000,5000.0,2,1,5,60,1,0.5,5000,Agri Term Loan
22,36000,3000.0,2,1,4,40,1,0.5,5000,Kisan Power
26,48000,5000.0,3,1,5,50,1,0.5,5000,Agri Term Loan
40,48000,4000.0,2,1,4,40,1,0.5,5000,Agri Loan
28,0,1500.0,1,1,3,40,1,0.5,5000,Kisan Power
38,0,3000.0,4,1,6,300,1,0.5,5000,Agri Loan
40,0,4000.0,3,1,6,1000,1,0.5,7500,Agri Loan
36,0,3000.0,2,1,4,600,1,0.5,7500,Agri Term Loan
26,0,3000.0,3,1,5,200,1,0.5,7500,Agri Term Loan
35,0,2500.0,3,1,5,400,1,0.5,7500,Agri Term Loan
36,0,3000.0,4,1,6,400,1,0.5,7500,Agri Term Loan
20,0,2200.0,0,1,4,300,1,0.5,5000,Agri Term Loan
27,0,2200.0,2,1,4,600,1,0.5,5000,Kisan Power
38,0,2700.0,1,1,4,400,1,0.5,5000,Agri Loan
35,0,2500.0,2,1,4,3000,1,0.5,5000,Agri Term Loan
25,36000,2900.0,1,1,2,2000,1,0.5,5000,Kisan Power
50,0,2200.0,0,1,3,600,1,0.5,5000,Agri Loan
23,0,1500.0,1,1,3,500,1,0.5,5000,Agri Term Loan
40,0,1700.0,1,1,3,400,1,0.5,5000,Agri Term Loan
40,0,3500.0,1,1,5,600,1,0.5,5000,Agri Loan
25,0,2000.0,1,1,3,200,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
40,0,2700.0,1,1,4,600,1,0.5,5000,Kisan Power
42,0,1500.0,0,1,2,600,1,0.5,5000,Agri Loan
35,0,2500.0,2,1,4,400,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
42,0,3500.0,0,1,5,900,1,0.5,5000,Agri Loan
40,0,2200.0,2,1,4,400,1,0.5,5000,Agri Term Loan
45,0,4000.0,0,1,5,600,1,0.5,5000,Kisan Power
35,0,3200.0,3,1,5,600,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
24,0,2700.0,2,1,4,300,1,0.5,5000,Agri Term Loan
40,0,2000.0,1,1,3,600,1,0.5,5000,Agri Term Loan
32,0,3000.0,3,1,5,800,1,0.5,5000,Agri Loan
42,0,3500.0,1,1,6,400,1,0.5,5000,Agri Loan
23,0,2000.0,0,1,2,50,1,0.5,5000,Agri Term Loan
40,0,2800.0,1,1,4,400,1,0.5,5000,Agri Term Loan
45,36000,2800.0,0,1,2,300,1,0.5,5000,Kisan Power
45,30000,2500.0,0,1,2,200,1,0.5,5000,Agri Term Loan
29,30000,2900.0,2,1,2,300,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
28,0,2000.0,1,1,3,600,1,0.5,5000,Agri Loan
43,42000,3000.0,3,1,2,350,1,0.5,5000,Agri Loan
45,42000,3000.0,2,1,2,250,1,0.5,5000,Agri Term Loan
45,36000,2800.0,1,1,2,300,1,0.5,5000,Agri Loan
20,42000,2400.0,1,1,2,1500,1,0.5,5000,Agri Term Loan
45,0,4000.0,0,1,2,400,1,0.5,5000,Kisan Power
43,0,3200.0,2,1,4,500,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
23,36000,2900.0,1,1,2,300,1,0.5,5000,Agri Term Loan
33,0,3100.0,2,1,4,250,1,0.5,5000,Agri Term Loan
26,0,2400.0,2,1,4,400,1,0.5,5000,Agri Term Loan
43,22000,2400.0,2,1,4,250,1,0.5,5000,Agri Term Loan
30,0,4500.0,2,1,4,600,1,0.5,5000,Agri Term Loan
24,19000,2500.0,2,1,4,450,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
30,0,2800.0,2,1,4,400,1,0.5,5000,Agri Loan
31,0,3500.0,2,1,4,50,1,0.5,5000,Agri Term Loan
37,0,4000.0,2,1,5,600,1,0.5,5000,Agri Loan
41,0,3400.0,4,1,6,500,1,0.5,5000,Kisan Power
35,0,4500.0,2,1,4,600,1,0.5,5000,Agri Term Loan
40,21000,4000.0,2,1,5,600,1,0.5,5000,Agri Term Loan
50,5000,3700.0,1,1,4,300,1,0.5,5000,Kisan Power
50,30,3000.0,3,1,6,25,1,0.5,5000,Agri Loan
45,42000,3400.0,1,1,2,300,1,0.5,5000,Agri Term Loan
26,42000,3400.0,2,1,2,200,1,0.5,5000,Agri Term Loan
23,36000,2900.0,1,1,2,200,1,0.5,5000,Kisan Power
26,48000,3900.0,2,1,2,200,1,0.5,5000,Agri Term Loan
23,38400,3200.0,2,1,2,300,1,0.5,8000,Agri Term Loan
28,20000,12000.0,2,1,4,20,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
26,39600,3300.0,2,1,2,300,1,0.5,8000,Agri Loan
30,36000,2900.0,2,1,2,200,1,0.5,8000,Agri Term Loan
28,43200,3500.0,3,1,2,200,1,0.5,8000,Agri Term Loan
31,40000,3500.0,1,1,2,110,1,0.5,5000,Agri Term Loan
33,50400,4100.0,3,1,2,200,1,0.5,8000,Mahabank Kisan All Purpose Term Loan
25,36000,2900.0,1,1,2,200,1,0.5,8000,Kisan Power
34,56400,4000.0,3,1,2,180,1,0.5,8000,Agri Term Loan
52,48000,3800.0,0,1,3,200,1,0.5,8000,Kisan Power
30,38400,3200.0,3,1,2,200,1,0.5,8000,Mahabank Kisan All Purpose Term Loan
30,42000,2500.0,1,1,2,250,1,0.5,8000,Mahabank Kisan All Purpose Term Loan
37,42000,3500.0,0,1,3,250,1,0.5,8000,Mahabank Kisan All Purpose Term Loan
40,12000,3000.0,2,1,4,400,1,0.5,5000,Mahabank Kisan All Purpose Term Loan
34,12000,3500.0,1,1,3,600,1,0.5,5000,Agri Term Loan
50,48000,3800.0,1,1,2,250,1,0.5,5000,Agri Term Loan
28,18000,3000.0,2,1,4,500,1,0.5,5000,Agri Loan
39,54000,4400.0,1,1,4,200,1,0.5,5000,Agri Term Loan
43,24000,2000.0,0,1,3,200,1,0.5,5000,Agri Term Loan
43,24000,2000.0,0,1,3,200,1,0.5,5000,Agri Term Loan
38,24000,3000.0,1,1,4,500,1,0.5,5000,Agri Term Loan
40,54000,4100.0,2,1,3,250,1,0.5,5000,Kisan Power
38,30000,2000.0,2,1,4,300,1,0.5,5000,Agri Term Loan
41,24000,3000.0,2,1,4,250,1,0.5,5000,Kisan Power
33,48000,3800.0,2,1,2,250,1,0.5,5000,Agri Term Loan
58,36000,2400.0,0,1,4,300,1,0.5,5000,Agri Loan
48,12000,4000.0,0,1,5,300,1,0.5,5000,Agri Term Loan
50,54000,4400.0,2,1,3,200,1,0.5,5000,Agri Term Loan
29,18000,2500.0,1,1,4,200,1,0.5,5000,Kisan Power
33,12000,3000.0,1,1,3,150,1,0.5,5000,Agri Loan
